label,No,Date,Content
,433,"""2017-07-25T23:22","""진심 시간 여유있으면 기다렸다 캠리 신형이나 어코드 사려고 했는데 어쩔수 없이 버티다 그랜저 구매했다! 근데 지금  캠리나 어코드 할인해도    사기에는 몬가 아깝다 생각이 든다~"""
,434,"""2017-07-25T19:42",""""""
,435,"""2017-07-25T17:51","""이번에 구입했습니다. 나름 무난합니다"""
,436,"""2017-07-25T13:30","""근데 궁금한게있는데 말리부 미션 6단은까이고 그랜져미션6단은 왜안까임? 그랜져는 c타입에 세타엔진 6단미션 게다가 미국시장에만 올인한 현대에서 이번그랜져는 해외수출도안한다는데 그런말은 거의안보이고 c타입보다 윗등급인 r타입에 멀티링크 말리부가 6단미션장착했다고 까이네... 참 신기방기 ~"""
,437,"""2017-07-25T13:06","""해외에선 결함폐기물이라 수출도 못함. 수출용 그렌저 결함시 미국 집단소송 걸면 현대 기아는 망하게 되어있음.  악덕 수입차 규제법이 풀리지 않는한 .. 자국민 70% 점유율때문에 버티고 있음. 어떻게 그지같이 장사하는데도 사주는건지 이해가 안되긴함. 일부 소비자들은 울며 겨자먹기로 삼. 근데 일부 현대 기아 사고 옹호하며 차부심 부리며 애국심 타령하는건 매국노같아보임. 어짜피 자국민은 개돼지 호구들이니까 광고, 시승기, 블로그 등등 마케팅에 돈좀 풀면 차알못들은 진짜인줄 속고도 또 믿고 삼... 여기서 나온 자본으로 해외에 투자및 리콜 해줌. 물론 대한민국은 열외임. 대단한 기업임 ㅋㅋ 사드로 중국 매출도 없으니 요즘 광고나 언론에 엄청 칭찬글밖에 없더라 ㅋㅋㅋㅋㅋ 아직도 모르겠냐? 정신좀 차려라ㅋㅋㅋ"""
,438,"""2017-07-25T12:59","""K7디자인이 그랜져이름으로 현대로고였다면\n아마 지금ig보다 더팔렷을듯 반대로 기아로고에 현ig가k7으로 나왓으면 아슬란꼴낫다"""
,439,"""2017-07-25T12:26","""시트6개월안에교체가능하다더니사업소오니까 완전심하지않으면교체해주지도않네요ㅜㅜ4.천가까이주고산차를심하지않으면안해준다고..,,어처구니가없네요진짜"""
,440,"""2017-07-25T12:18","""아무리 까도 현재 8개월 연속 1만대 돌파\n없어서 못사는차 .. 아무리 까도 까도또까도 판매 1위\n적수가 없데요.. 으미.."""
,441,"""2017-07-25T11:16","""그랜저ig 하이브리드 익스클루시브 스페셜 , 옵션- 파썬, 스마트센스패키지2, JBL, HUD , 7월 말, 8월 초 기준으로 현금 일시불 구매, wong2478@naver.com 여기로 좋은 견적 부탁드립니다."""
,442,"""2017-07-24T18:34","""얘넨 그냥 독삼 디자인 훔쳐먹고 사는 애들임"""
,443,"""2017-07-23T23:08","""음 소형 중형 대형 통틀어 요즘 가장 괜찮은 차량은 현대의 그랜져와 기아의 소렌토가 투톱."""
,444,"""2017-07-23T23:00","""개팔라 떡 실신 시킨차"""
,445,"""2017-07-23T19:59","""베로닉슨지 뭔지 그릴까진 좋은데 그 엠블럼 뭐니?ㅉㅉ\n진심 없어보임ㅋㅋㅋㅋㅋㅋ 그거 보는 사람마다 제네못사서 안달난 것처럼 비웃더만 정작 차주만 모르는듯ㅋㅋㅋㅋㅋㅋㅋㅋㅋ"""
,446,"""2017-07-23T13:16","""국민 아빠차 그랜져 !"""
,447,"""2017-07-23T08:40","""구매 원합니다. 그랜저IG 2.4 프리미엄, 익스테리어 패키지 선금 500에 유예할부 50% 4370park@naver.com 견적 부탁드립니다."""
,448,"""2017-07-22T19:27","""견적 부탁드립니다. 1.차종 : 그랜져 2.4 프리미엄(파선 + 익스테리어패키지) 2.색상 : 판테라 그레이 3.선수금 : 550만원 4.할부 : 60개월(고정금리) 및 국민카드 캐쉬백 할인적용 5.지역 : 천안시 서북구 - kbkfreejjang@naver.com -구매의사 확실하며 좋은조건으로 해주시는 딜러분에게 계약하고 싶습니다!!!"""
,449,"""2017-07-21T21:15","""세계 최고의 현대기아차를 무조건 응원합니다.  http://blog.naver.com/goodgolfer/220341482592"""
,450,"""2017-07-21T10:55","""국민차 그랜저네 \n개인적으로 흰색이 예쁨"""
,451,"""2017-07-21T09:40","""디자인 좀 베끼지마라.."""
,452,"""2017-07-21T06:25","""http://post.naver.com/viewer/postView.nhn?memberNo=31245283&amp;volumeNo=8695133\n\n몰래 무상수리하는 업체, 과연 ?현기차가 사는 방법이죠. 왜? 무상수리는 말 그대로 알고 따지러 오는 사람만 몰래 교환해주면 끝.리콜은 회사가 다 통보해줘야하니까요.지금은 현기차를 이렇게 만든것은 현기차를 구입해주는 사람들때문이지 않을까요?모르고 사고, 알아도 모른척..그리고, 저런 뉴스가 뜨면 어느순간(순식간) 사라져버리는 네이버나 다음이나.."""
,453,"""2017-07-21T01:00","""진짜요즘현대차너무잘만드는거같아요👍🏻K7사야겠네"""
,454,"""2017-07-20T18:48","""그랜저IG 2.4 프리미엄 스페셜 그랜저IG 2.4 , 옵션은 스마트센스패키지 2, 현금 일시불rken99@naver.com 견적 부탁드립니다."""
,455,"""2017-07-19T15:11","""차량 구매하려고 합니다.\n그랜저IG 2.4 프리미엄 스페셜\n그랜저IG 2.4 프리미엄\n옵션 무\n카드할부 후 완납\n지역 전남 여수\n탁송\n한달이내 구매예정\n이메일로 견적 부탁드립니다.\nakspf01@hanmail.net"""
,456,"""2017-07-19T13:02","""중고을 샀다고 서비스가 적용 안되는것은 말이 안되는 아주 나쁜처사임"""
,457,"""2017-07-19T11:25","""디자인이 젊어지긴 했는데 어김없는 노땅전용 자동차! 이차타고 고속도로에서 70, 80 밟고 가면 좋아요?"""
,458,"""2017-07-19T10:53","""2.4가솔린 모던 선수금 1천만원 36개월, 48개월 월 최소금액 견적요청합니다. sohwon1@naver.com"""
,459,"""2017-07-18T22:37","""예상대로 3.3 나왔네...이제 아슬란은 끝인건가"""
,460,"""2017-07-18T16:38","""견적 부탁드립니다. 1.차종 : 그랜져 2.4 프리미엄(파선 + HUD)  2.색상 : 판테라 그레이  3.선수금 : 일천만원  4.할부 : 24개월(고정금리)  5.지역 : 서울 노원구  - redskyhun@naver.com  -마음의 결정은 한 상태이며 조건으로 결정하겠습니다."""
,461,"""2017-07-18T16:30","""3.3 가솔린 한달 좀더 탓음\n사기전에 약 3달간 외제차 엄청 알아봄. 일산 모터쇼에 3번이나 갔었음.\n반드시 외제차를 사리라. 국산차는 절대 사지 않으리라 못을 박고 알아봤음.\n독일차 좋음. 그러나 비쌈. \n일본차 우리나라 동급이랑 가격 비슷함. 그러나 편의사양이 약함.\n결국 3달을 돌아다니다 가성비를 고려하여 국산차를 삼\n여유 되시면 독일차 사세요\n옵션 별로 않따지시고 내구성 원하시면 일본차 사세요 ㅎㅎㅎㅎ\n한달 운전해 본 소감은 참 좋습니다.\n타사차량 알아볼거 다 알아보고 타볼거 다 타보고 사서 그런지 후회는 없네요. 만족합니다. ㅎㅎ\n무엇보다 조용하네요\n알아보시면 아시겠지만 외제차도 신경쓰이는 하자 하나씩은 있더군요 ㅎㅎㅎ\n엔진은 3.3이니 말많은 그거는 아니지요. ㅎㅎㅎ\n본인의 성향에 맞게 사시면 될거 같아요. ㅎㅎㅎ"""
,462,"""2017-07-18T16:21","""여기서 아무리 빼액거려도 하브랑 합치면 만이천대이상팔림"""
,463,"""2017-07-18T15:13","""이게 그 유명한 미국에 수출도 못하는 차라면서요? ㅋㅋ\n아이구  IG?"""
,464,"""2017-07-18T14:21","""견적부탁드려요.  하브 익스스 + 스마트센스패키지II  현금완납입니다.  kabyss3@gmail.com"""
,465,"""2017-07-17T23:05","""그래서 V엔진은 죽을 때까지 안달거야?\n서스펜션은?? 그립감은?? 디자인은!!!\n제발 하나라도 제대로 된것 좀 만들어봐라"""
,466,"""2017-07-17T22:58","""진정한 30대 자동차... 30대를 위한 차인듯"""
,467,"""2017-07-17T20:16","""구형 그랜저가 진짜 그랜저조 \"" 뭐여 이 촌스러운 차는 \"" 그런데 열어보니 v6더라~ 이거죠 이거에요 그랜저는 이 맛이조"""
,468,"""2017-07-17T18:31","""나라를 위해 퇴출시켜야할 기업 1위"""
,469,"""2017-07-17T17:39","""견적 부탁드립니다.\n차종 : 그랜져 2.4 프리미엄(파선 + HUD)\n색상 : 판테라 그레이\n선수금 : 일천만원\n할부 : 24개월(고정금리)\n지역 : 서울 노원구\n\n마음의 결정은 한 상태이며 조건으로 결정하겠습니다."""
,470,"""2017-07-17T13:53","""현대자동차가 1.6 가솔린 직분사(GDI) 엔진에 대한 고객 비판을 은폐했다는 주장이 나와 논란이 일고 있다. 현대차는 네이버 포스트 ‘현대자동차’에 달린 1.6 GDI 엔진 결함 시정 요구 관련 댓글을 임의로 삭제했다는 비판을 받고 있다. (네이버 토크방 베스트댓글도 포함)"""
,471,"""2017-07-17T10:46","""마빡은 비엠더블유 똥구멍은 sm6을 베낀 차..에효,,,,,진짜 타는 인간이 띨빵해 보이는 몇 안되는 훌륭한 차지...http://blog.naver.com/goodgolfer/220341482592"""
,472,"""2017-07-17T10:44","""택시차 왜 삼?"""
,473,"""2017-07-16T16:29","""이거 타는 넘중에 40이하 못봄.  꼰대전용차."""
,474,"""2017-07-16T14:57","""2.4 최상트림 파선 옵션추가 \n구매 할겁니다 바로 계약합니다 \n조건 좋은분 연락부탁합니다 \n지역은서울 노원구 입니다\nzety1204@naver.com"""
,475,"""2017-07-16T05:37","""아주 옛날의 그렌져 = EQ900 /// 옛날 그렌져=G80/// 현재 그랜져=과거 쏘나타,// 이제 그랜져가 과거 쏘나타처럼 잴 많은차임... 판매량이 증명함"""
,476,"""2017-07-16T05:35","""솔직히 뒷태가 무슨 물안경쓴 아저씨들이 타고다니는 차같음. 도요타 캠리가 훨낫다..."""
,477,"""2017-07-15T22:18","""경쟁력도 없어 수출도 못하는 내수용 똥차가 무슨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"""
,478,"""2017-07-15T14:19","""견적 받습니다.\r\n그랜저 2.4, 프리미엄+현대스마트 센스 패키지\r\n현2000만 나머지 할부 hassam2@naver.com"""
,479,"""2017-07-15T12:33","""쿠킹호일도 이젠 옛말이다. K5가 먼지되면서 4명죽고 충격 흡수 하나도 못한 상태로 Q5 끝까지 밀고간 동영상보니 참 어이가 없다. 물론 Q5 차주는 아무일 없었다는듯이 ㅋㅋㅋ"""
,480,"""2017-07-15T11:02","""개나소나 ㅋㅋㅋㅋㅋ 이제 쏘나타급이라서 오! 그랜져네 하진않더라 그냥 아.. 정도?"""
,481,"""2017-07-15T01:09","""이게 그 유명한 흉기에서 만든 그랜져인가요?\n조금만 있어보세요  이웃나라 일본에서 캠리로 그랜져 박살 낼겁니다  이렇다 저렇다 하지말고 일본차로 가세요 들 뭣 하러 현기차 타세요"""
,482,"""2017-07-14T23:57","""내눈엔 대형세단디자인이 이래서 별로...근데 많이팔린거보면 남들이보기엔 멋있나보네"""
,483,"""2017-07-14T16:46","""늙은이 전용 차~ ㅋㅋㅋㅋ"""
,484,"""2017-07-14T02:47","""개인적으로 실물 봤을때 기대 이상인데. 디자인은 흠잡을데 없다보는데요. 왜이렇게 까나요? 딱 그랜져 디자인 정체성 잘잡은것같더라구요. 제네시스브랜드 그 아래에 있는 차?  로써 딱 30대40대초아재? 감성인것같든데 깔끔하고 약간스포티하면서. 걍 잘나왓든데 디자인은 왜케 까나요?  현대가 디자인전략도 딱 잘잡아서 그랜져앞으로도 이정도 감성으로 갈거같고 좋은데 왜"""
,485,"""2017-07-13T18:42","""이게 3,40대가타는 국산대형새단디자인이 이따구냐? 어떤놈이디자인함??? 웃긴건 존나 많이팔림ㅋㅋㅋㅋㅋ"""
,486,"""2017-07-13T14:08","""이거이쁘던데 아저씨차같지도 않고은근 스포티한느낌도나고 이쁨."""
,487,"""2017-07-13T13:43","""개인택시 렌트카로 팔린것도 소비자 구매 평가라든지 판매량으로 합산되어서 계산되서 그렇지.. 그랜져 튼튼할것 같은데 그렇지도 않고 쿠킹호일 구겨지듯이 완전 걸레가 되더라 소비자 구매 만족도라는 조사는 출처가 어떻게 되는지 궁긍할 따름;;"""
,488,"""2017-07-13T10:13","""그랜저의 기능좀 다 설명해주시겠습니까??"""
,489,"""2017-07-12T22:52","""차값이 왜 비싸기는 영업이익 오르는 많큼 노조가 돈을 더 달라는데 어케 차값이 안 오르겠냐 차 한대당 소요 시간은 BMW보다 길면서 돈은 ㅁㅊ듯이 뜯어가고 안주면 파업하고 쉬면 장땡인데 당연한거 아냐? 귀족 노조가 돈을 더 받을수록 차값은 오른다 오죽하면 말도 안되는 연봉 인상에 현대 주식 10식 때준다는데 싫다고 부족하다고 파업하고 그러겠냐 현대 차를 사면 살수록 무뇌아 노조들 지갑만 두둑해짐 ㅅㄱ"""
,490,"""2017-07-12T17:48","""도대체 어떤 부품으로 어떻게 조립했길래 범퍼가 벌어지나요?  ㅋㅋㅋ"""
,491,"""2017-07-12T17:32","""미국에서 철수한 그랜저"""
,492,"""2017-07-12T17:11","""견적 부탁 드린다는 글들은 왜 쓰는거야? 집 근처에 대리점 없나?!"""
,493,"""2017-07-12T13:48","""자세히보기"""
,494,"""2017-07-12T12:50","""국산차가격처올리더니  이제는  일제차추월해간다  ㅋㅋ  수리비만적게나오면  더이상  국산차는  메리트가없어  외관이랑  내장만그럴듯하고  엔진  헨들  각종결함  장점이라곤  싼수리비와  정비성밖에없다"""
,495,"""2017-07-12T11:23","""그랜저 하이브리드 익스클루시브 / 선루프 , jbl사운드, 스마트센스2 옵션 견적부탁드립니다.(전부 현금입니다)\nwong2478@naver.com로 보내주시면 감사하겠습니다."""
,496,"""2017-07-12T09:17","""안티는 많지만 매니아는 없다"""
,497,"""2017-07-11T19:27","""이번 그랜져는 매우 다르다\n급발진 화재 에어백미작동 모든게 호갱님탓"""
,498,"""2017-07-11T18:22","""이번 그랜져는 옛 모델과 달리 아우디 느낌이 나네요"""
,499,"""2017-07-11T15:45","""차산다고 2개월간 알아보며 현기차는 마지막까지 쳐다도 안봤는데\n국산/외제 이것저것 시승해보고 비교해보고 하다보니 결국 가격대비 성능을 고려하지 않을수가 없다.\n그랜저 하브로 결정후 1달째 타고 있는데 단점이 없을정도로 생각보다 잘만들어졌다.\n첨에 구려보였던 디자인도 점점 이뻐보이고 차 진짜 잘나간다.\n직접 타봐라 현기의 실수일정도로 잘나온것 같다.\n직접 타보고 결정해라"""
,500,"""2017-07-10T15:44","""현기 클라스 ㅎㄷㄷㄷ 차를 종이로 만들었냐? \n\nhttps://www.youtube.com/watch?v=ebXfsRSqgOQ"""
,501,"""2017-07-10T15:11","""개돼지가 얼마나 많냐면 hg에서 껍데기만 바꾼 그랜저ig가 잘 팔림. ㅋㅋㅋ k7은 플랫폼 수정이라도 했는데 ㅋㅋ 휠베이스 제원 보면 답 나옴."""
,502,"""2017-07-10T13:39","""그랜저IG 3.0 익스클루시브, 옵션 : 스마트센스패키지, 익스테리어패키지, AVM, 전동트렁크 기준\n색상 : 판테라 그레이\n견적 부탁드립니다. 올 현금가 기준 &amp; 추천 구매방법 제안\n서비스는 현금 페이백으로 얼마까지 가능한지 알려주세요. archi4u1@naver.com"""
,503,"""2017-07-10T12:58","""그랜져 익스(흰색) 견적좀\n+선루프\n+HUD\n+AVM\n현금2,000만 잔액 36개월 할부\n90009917@naver.com"""
,504,"""2017-07-09T16:55","""자국민 내수는 실험용이고 보완해서 부품더 좋은거 쓰고 수출하겠죠 . 일단 자국민 고마진으로 얄팍한 마케팅과 언론 끌여들어 홍보해 팔아먹고 자본좀 끌어모아서 싸질러놓은 수출한 차들에 서비스로 아이패드 엑센트 사은품으로 주고 수출한 차들 결함들 리콜 하는데 쓰겠죠 .. 참 외국에 사랑에 빠진 흉기입니다 ㅋㅋ자국민 내수용은 너무 잘 만들어서 엔진오일 세는것도, 세타2엔진결함도 기술이고 에어백미전개도 기술이고 결함이 아니래요 그래서 리콜이 없어요. ㅋㅋㅋㅋ 개돼지들아 정신좀 차려라"""
,505,"""2017-07-09T16:15","""현대 기아가 자국민을 너무너무 사랑한 나머지 뛰어난 성능으로 내수전용프리미엄 자동차로 한국 한정해서 판매하고 있답니다 ㄷㄷㄷ"""
,506,"""2017-07-09T15:53","""공장 다니며 그 연봉으로 그랜져 타면 어깨에 뽕좀 들어가나요?"""
,507,"""2017-07-09T09:37","""이차 미국에 수출 못하고 국내에만 파는 이유가 뭔가요?\n그리고 보이는 차는 죄다 허 하 호 택시인데 무슨 사연이라도 있나요?"""
,508,"""2017-07-09T08:51","""친구들와 술을먹고 홈플맞은편에서 택시에 탔는데\n범어역 앞에 세아주세요 캣는데 내리라는 거에요\n그래서 이사람이 승차거부하나 생각하고 욕하고 1분동안 싸웟습니다\n시간이 흐른후 지나가는분 모자를 뺏어 모자에 팬으로 개인택시라고 적어 테이프로 붙인후 루\n프에 붙히고 운전쟈 싸대기 때린후 기절시킨다음 운전해서 직접 갔네요\n이것이 이상한게 이차는 운전할때 마다 사람들이 박에서 손을 흔듭니다.."""
,509,"""2017-07-09T00:17","""그랜저IG는 허 하 렌터카 번호판밖에 안보이더라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ"""
,510,"""2017-07-08T23:07","""그랜져hg, YF,K5시절시기는 현대차는 그냥 볼품없는 차에 불과했는데 자동차 소비자들의 수준도 스마트해졌고\n기술발전, 그리고 경쟁사 벤치마킹으로 주행기본성능 up은 현대가 그나마 정신차렸다고 평가할만하다.\n앞으로 나올 신차에 더더욱 기대가 되는 이유다. 그랜져ig 주위사람한테 추천할만한 차입니다."""
,511,"""2017-07-08T14:32","""2.4가솔린 모던 선수금없이(취.등포함) 48개월60개월 월 최소금액 견적요청합니다 wonsfun@naver.com"""
,512,"""2017-07-08T09:09","""소나타 친구처럼 나와서 차 겁내 없어 보이더라 ㅋㅋ 차라리 이돈이면 K7신형에 한표 !!!"""
,513,"""2017-07-07T19:07","""고생이 많다 타사영맨들 ㅋㅋㅋㅋ"""
,514,"""2017-07-07T12:09","""이거 왜케 잘팔려요? 앞에 모여라 눈코입 같은데..  왜 인기가 많은거죠..!?"""
,515,"""2017-07-07T10:36","""2.4가솔린 모던 선수금700(취.등포함)\n48개월60개월 견적요청합니다\n10108ilil@naver.com"""
,516,"""2017-07-07T07:25","""수입차 보다 국산차 보면 확실히 가격이 거의 반값이네 혜자다 혜자 !"""
,517,"""2017-07-05T17:53","""진심 밤에 뒷모습 보면 닌자거북이가 싸우러 가는거 같이 보임"""
,518,"""2017-07-05T17:15","""그렌져 급 라인에 있는 수입차나 다른 차들에 비해 정숙성 하나는 압도적이라고 그러네요 심지어 내구성 평가도 의외로 아발론 보다 높게나온 해외 평가도 있구요 하긴 몇년을 처 팔았는데 읨..."""
,519,"""2017-07-05T12:55","""네이버뚜벅형들과 예비구입자들을위해 실구매후 느낀점 말해드립니다 1 led헤드램프가 별로안밝음 2 안개등이없다 3 차가 작아보이는데 주차해보면 더럽게크다 4 시트가딱딱하다 5 시계타령하는데 막상운전하면 네비에가려서 시계보이지도신경도않씀 6 상향등키면 하늘을비춤 7 HG대비 오토홀드이질감줄음 8 순정네비가 길을 자기맘대로알려줌 9 방지턱넘은후 휘청거리는 현대종특이 없다"""
,520,"""2017-07-05T11:36","""택시"""
,521,"""2017-07-04T23:09","""애초에 크기도 비슷하고... 볼보 크로스 컨트리 정도 크기로... 좀 더 길어지더라도... 그랜져 7인승 버전으로 나왔으면 하는 바램이 있네요... 어차피 기본은 4~5인승일테고, 3열은 가끔 쓸테니까... 맥스크루즈는 SUV고... 디자인이나 편안함이나 승용차 느낌을 원하니까..."""
,522,"""2017-07-04T22:12","""트림은 별로 이상할게 없는데 2.2디젤/2.4/3.0/3.3,... 3.3 터보 모델을 트림에 넣으면 좋을듯..."""
,523,"""2017-07-04T10:55","""견적서 부탁드립니다 (2가지로)\n1) 현금일시불   2) 3천만원 현금 + 할부\n견적 모델은 3.0 가솔린 익스클루시브 입니다\n메일 gotlgotl@naver.com"""
,524,"""2017-07-04T03:52","""그렌져 바로구매예정 입니다. 장애5급이고 렌터가옵션으로 가장저렴한거옵션입니다. p10212@naver.com  견적서는 부탁드립니다. \n할인 얼마까지 가능한가요"""
,525,"""2017-07-04T00:30","""그렌져ig 2.4 프리미엄가솔린 2.2디젤 프리미엄\n두모델중에 어떤게 나을까요.? 돈차이는 디젤이300만더비싸네요..시내주행만하고 한번식 놀러댕기고  1년에 만키로 안쪽으로 탑니다. 팔때 중고시세는어떤게 나은지알려주세요 40대여자입니다 현대차안타봐서 전문가님들의 조언부탁드립니다."""
,526,"""2017-07-03T23:43","""세타가 아무리 무서워도 탈사람은 탄다. 이가격에 이스펙으로 나오는 차 거의없으니깐. tg오너로서 난 옛차가 더 좋다고 생각함."""
,527,"""2017-07-03T14:06","""휠베이스가 길어졌다고 하는데 실제로 보면 hg보다 짧아보임"""
,528,"""2017-07-02T19:29","""http://naver.me/5Val6C8q"""
,529,"""2017-07-02T00:07","""암만 OOO해도 3천에 대형차 쇼부보려면 그랜저밖에 없음"""
,530,"""2017-07-01T19:39","""실 구매자 ≠ 댓글러"""
,531,"""2017-07-01T06:36","""도대체 왜 현기는 6기통 디젤을 안내놓는걸까.,\n만들기술은충분할텐데... 수요도 충분할텐데....\n\n 디젤의 장점 토크빨 그리고 스포츠카아니고서야 일반적으로 차에 정말중요한점은 진동 정숙성 엄청나게 중요하다\n2천4기통과 3천6기통 디젤의 정숙성과 진동은  가솔린 4기통과 8기통의 갭차이보다도심하다\n주행성역시 넘사벽  그에비해연비차는 소소하다...\n\n모하비를제외한 모든 디젤차들 현기가 소리하난 외산메이커에비해상대적으로조용하다  단 딱5만까지만... 외산국산다포함해 디젤은 5만넘어가기시작하면 괏리아무리잘해도 진동소음생긴다   근데 왜 출력도 소음도 진동도 심한 4기통만찍어낼까...\n\n제네시스디젤도 허접하기짝이없는 2.2디젤이라던데..........   \n\n국산차의제일장점인 모비스존때문에 디젤 패밀리카 한참고민했다... 엔진 미션 드는거말곤다자가정비가능해서  근데 주행성이고뭐고다떠나 진동소음도저히못참겠더라 결국 bm gt30d삿다\n신세계다  높은지상고임에도 그랑이보다 주행성이 훨낫다.."""
,532,"""2017-06-30T14:07","""이차 주차해놓고 시동꺼도 반자율주행작동 한다는데 이거 실화냐???ㅋㅋ  http://www.bobaedream.co.kr/view?code=best&amp;No=126162"""
,533,"""2017-06-30T11:28","""그랜져 2.4 프리미엄 현금완납 견적 요청합니다. what_for@naver.com"""
,534,"""2017-06-30T10:28","""진짜 그랜져 3.0 ~ 3.3 살꺼면   닛산매장가서  맥시마 앉아보고 사라  프로모션확인하면서"""
,535,"""2017-06-29T23:22","""번호판 하단 내리고 엠블럼 없애면 진짜 이쁘던데... 3.0 사고싶다.."""
,536,"""2017-06-29T17:17","""공포의 운전대 그렌저에 들어간 C-MDPS 입니다  http://m.news.naver.com/read.nhn?mode=LSD&amp;sid1=001&amp;oid=214&amp;aid=0000583800"""
,537,"""2017-06-29T15:49","""녹셔리 암렌저IG"""
,538,"""2017-06-29T14:52","""마음은 제네시스G80, 현실은 원가절감 싸구려 택시차인데 가끔 무능력한 개돼지들이 흉기의 마케팅에 낚여 사는 호구전용 고마진 똥차."""
,539,"""2017-06-29T14:48","""엑센트 조향장치 그대로 넣고 수출도 못하는 내수전용 똥차."""
,540,"""2017-06-29T10:14","""IG 2.4 프리미엄 스페셜 풀옵 현금완납 견적 부탁 드립니다. dir947@naver.com"""
,541,"""2017-06-28T14:57","""그랜다이져 타고\n오늘도 한강으로 다이빙한다 ㅅㄱ"""
,542,"""2017-06-28T10:06","""그랜져 2.4 프리미엄, 파썬, 스마트센스, 선수금 1000, 나머지 36개월, 60개월 할부 비교 견적 부탁드립니다 jigusalsl@naver.com"""
,543,"""2017-06-28T01:01","""디자이너 뺨때리고 싶다 ㅋㅋ"""
,544,"""2017-06-28T00:53","""준대형의 왕좌는 이제 제네시스가 가져가는걸로"""
,545,"""2017-06-27T22:06","""k7이 그랜져330한테발려요속도를원하시는분은그랜져k7은승차감만위임"""
,546,"""2017-06-27T21:58","""그랜저는 결함 맛에 타는거죠. 한달만 타도  블루핸즈 베프가능."""
,547,"""2017-06-27T21:17","""엔진 고장 엄청나네요 쓰레기"""
,548,"""2017-06-27T16:57","""그냥 뭐 만들어 달라는 단가대로 만드는것이고..."""
,549,"""2017-06-27T12:47","""IG 2.4 프리미엄 1000선납 36개월 huhuni15@naver.com"""
,550,"""2017-06-26T23:52","""야   이 등신들아 이거도  재고 c mdps 썼어.\n꼰대들 아니면 알아 들을테니 니들 아버지 일깨워줘라"""
,551,"""2017-06-26T19:01","""하튼 내가 3월이 뽑았는데 그때 네이버 뚜벅충 및 알바덜 디자인 구리고 수출 못하는 똥차라고 안팔린다길래 내가 뽑앗더만 역시 내예상대로 대박치네 ㅋㅋㅋ"""
,552,"""2017-06-26T18:50","""IG 2.4 프리미엄 현금완납,24000선납 36개월 s0420721@gmail.com 견적부탁드립니다"""
,553,"""2017-06-26T11:30","""그래서 HG랑IG중에 뭐가 더 나음??"""
,554,"""2017-06-26T10:26","""그렌저보고 가성비 가성비 하는데 그렇다면 가성비 따지고 합리적인 소비하는 외국에서 경쟁력 가치가 충분한 차 아닌가? 왜 수출을 못할까? 빡대가리들아. 그니까 니들이 개돼지소리를 쳐듣는거야. 내수 고마진으로 외국에 퍼주는차가 그렌저ig다 개돼지들아. 되도 않는 수입차 비교하며 정신승리하지말고 입닥치고 조용히 타라."""
,555,"""2017-06-26T07:36","""말리부보다 핸들링이나 고속 주행시 불안정한 수출도 못하는 내수똥차임에 불구하고 그랜져가 e클300하고 비슷하다고 하다니 g80 3.8 파이니스트면 몰라도  정신병원이나 가라"""
,556,"""2017-06-26T07:36","""현기차 사는 사람들의 진짜 공통점 발견: 내가 하면 로맨스, 남이 하면 불륜."""
,557,"""2017-06-25T18:54","""3.0 중고차로 4500풀옵이라는데 판매가는 3천초반. 그럼 얼마를 할인해준다는거지? 완전 무사고라는데. 새차사면 바보되는 것 같고.. 견적주시는 분 계시면 3.0 합리적인 옵션으로 견적 주세요. parallelrkqqn@gmail.com"""
,558,"""2017-06-25T17:30","""http://blog.naver.com/muder1124/150186126437"""
,559,"""2017-06-25T13:34","""http://ryuseunghyun.tistory.com/1753"""
,560,"""2017-06-25T10:18","""딱 뽑고 한 달 탔다. 매우매우 좋다. 폭스바겟 cc타다 왔는데 실내 넓고 연비 좋고 옵션은 끝판왕이고 매우 만족한다. 무작정 까지말고 타보고 까라. 가성비 이정도면 끝판왕이라 생각한다"""
,561,"""2017-06-24T18:39","""덩치가그랜져를 아반테급으로 보이게 하는 마술을 부림. . .  왜이리 작아보이는건지"""
,562,"""2017-06-24T13:18","""실제로보면 외관 진짜별로인데 무슨아반떼인줄"""
,563,"""2017-06-24T13:03","""개인적으로 인터페이스 디자인은 IG보다는 HG가 더 이쁜것 같아요!  ㅜㅜ"""
,564,"""2017-06-23T16:38","""따져봤자 무조건 집니다. 고객이 무섭다는 것을 보여 주어야 합니다. \n\n안사는 거지요. 좀더 보태서 외제차 살람니다."""
,565,"""2017-06-23T13:56","""IG 2.4 프리미엄 1000선납 36개월 dbstkdso12@naver.com"""
,566,"""2017-06-22T23:50","""http://blog.naver.com/shms4123 그랜저HG 월장기(월렌트)로 고고!"""
